R,G,B
16,31,41
16,31,42
15,31,42
15,31,41
16,31,41
16,31,42
16,32,41
17,31,41
16,31,41
16,32,42
16,32,40
15,31,42
15,32,41
15,31,40
16,31,41
15,32,41
16,31,40
15,30,40
16,32,41
15,31,41
15,31,40
15,31,41
16,31,41
15,31,41
16,32,41
15,30,41
16,31,41
16,32,41
16,31,41
15,32,41
15,31,41
16,31,40
15,31,41
16,31,42
15,33,41
16,30,41
15,31,41
16,31,40
16,31,40
16,32,41
16,30,40
15,32,41
16,31,40
15,31,40
15,31,40
16,32,40
16,31,40
16,32,42
15,32,42
16,31,40
15,32,41
16,32,41
15,31,41
16,30,40
15,31,40
15,31,42
16,31,40
15,32,42
16,32,41
16,31,41
16,31,41
15,31,40
15,31,41
16,32,41
15,30,40
15,31,41
16,31,41
15,30,40
15,30,41
15,31,40
16,30,41
16,31,42
16,32,42
16,31,41
16,31,41
15,32,42
16,31,42
16,30,40
16,31,41
15,31,40
16,31,42
16,32,41
15,30,40
16,32,42
15,31,41
16,31,41
16,31,41
15,32,41
16,32,41
17,31,42
16,32,41
16,34,42
16,32,42
16,31,41
15,32,42
16,30,42
16,32,41
17,31,41
16,31,41
15,31,41
16,32,42
16,32,41
16,32,41
16,32,41
16,32,42
17,32,41
16,31,42
16,31,41
15,31,41
17,32,42
16,32,41
16,32,42
17,32,42
15,32,42
16,32,41
15,32,42
17,32,42
16,32,41
17,35,43
15,33,42
16,32,42
17,32,43
16,32,42
17,33,42
16,32,42
16,32,42
16,31,41
17,32,42
16,31,41
16,33,42
16,32,41
15,31,41
16,30,41
15,31,39
15,32,41
16,32,41
16,31,41
16,32,41
15,32,41
16,32,41
16,31,41
16,32,42
16,31,41
16,30,40
16,31,41
16,31,42
16,31,41
16,32,42
15,32,41
17,31,42
16,32,42
16,32,42
16,33,42
16,33,42
17,33,42
16,32,42
16,33,41
17,33,42
17,34,42
17,33,43
17,33,43
17,33,42
16,33,43
17,34,43
17,34,43
16,33,43
16,33,42
17,32,42
17,33,43
16,33,43
16,33,42
16,33,43
19,33,43
16,33,42
14,34,43
17,33,43
16,32,42
16,30,41
17,32,42
17,33,42
17,33,44
17,33,43
16,32,43
16,31,43
16,30,44
15,30,43
16,32,43
16,32,43
15,30,43
16,31,44
15,32,44
16,32,43
16,31,43
15,30,43
16,31,42
15,31,43
16,31,43
16,31,44
15,32,44
16,32,44
16,32,44
16,31,44
16,31,43
16,32,42
16,31,43
16,27,40
16,31,42
16,31,41
16,31,42
15,31,43
15,30,44
16,30,44
16,32,44
17,31,43
17,32,44
16,28,43
17,30,44
16,31,42
16,31,44
16,31,43
16,31,45
16,30,45
16,31,44
16,30,43
16,31,43
16,32,44
16,31,43
16,30,43
16,30,42
16,30,43
16,31,42
17,32,46
20,34,47
18,34,45
17,32,44
16,30,44
16,30,42
17,31,44
17,31,44
16,32,42
18,30,43
16,31,43
16,30,44
17,31,45
17,32,44
17,33,45
17,32,44
16,34,43
17,31,43
17,32,44
17,33,45
17,32,44
17,30,40
16,32,44
17,32,44
16,31,44
16,32,45
17,32,45
16,31,44
17,30,43
17,32,45
17,33,45
17,32,45
17,27,41
17,32,44
17,31,44
17,32,44
19,32,43
18,33,45
16,32,44
17,32,44
16,35,44
17,32,44
17,31,44
17,31,44
16,31,44
17,32,44
17,32,45
17,34,46
17,32,45
19,34,47
17,31,44
16,31,44
17,32,43
17,32,45
17,32,45
17,32,44
17,31,44
17,33,44
17,31,45
17,32,45
16,31,44
17,33,46
18,32,45
17,31,44
16,31,44
17,32,45
18,33,44
17,32,44
17,32,44
16,31,43
17,31,43
16,31,43
16,31,42
17,30,38
16,30,42
15,31,41
16,30,42
16,33,44
17,33,46
18,34,47
18,34,47
18,35,46
17,32,44
16,31,43
15,29,42
16,31,42
14,32,42
16,30,39
15,29,41
16,30,43
15,30,42
19,32,42
17,31,43
17,31,43
16,31,42
17,30,41
16,31,42
16,29,40
15,28,40
15,28,37
16,26,37
16,28,36
16,28,37
16,28,37
16,28,37
15,30,37
15,28,37
15,29,38
15,29,36
16,30,39
16,30,41
16,29,38
15,29,38
16,29,39
16,29,39
15,29,39
15,29,39
16,29,39
16,29,39
15,29,39
16,29,39
16,29,39
15,29,38
16,29,39
16,29,35
15,29,38
15,29,38
15,31,39
14,29,39
16,29,39
15,29,38
16,26,39
16,29,38
17,33,39
16,29,39
16,29,39
15,28,38
16,29,39
15,30,39
15,29,42
17,30,39
15,30,40
15,30,39
16,30,39
17,34,38
16,29,39
16,29,38
15,29,39
16,29,39
16,30,39
16,30,40
16,30,39
16,30,39
16,30,40
15,30,40
16,30,41
16,31,40
16,30,40
16,31,41
16,30,40
17,26,38
16,30,40
16,30,41
17,31,41
16,32,41
16,32,42
16,31,42
16,31,41
17,31,42
17,32,39
16,32,42
17,30,41
16,31,42
16,31,43
17,33,43
17,32,43
17,32,42
17,31,42
17,32,42
17,31,41
18,32,42
17,32,42
17,33,43
18,34,45
18,35,46
18,35,49
19,35,47
18,35,47
19,35,47
19,35,47
19,35,46
21,36,46
18,35,45
18,34,44
18,37,45
18,36,48
18,35,46
19,35,46
18,35,48
19,36,47
19,36,48
19,37,48
20,38,49
20,40,50
21,39,50
21,40,50
21,40,48
19,36,47
19,36,47
20,37,48
20,37,48
20,39,47
18,35,45
17,33,45
17,32,43
17,32,43
16,32,42
16,29,42
17,33,44
17,33,45
17,33,44
17,33,44
19,33,43
17,32,42
17,32,44
17,33,43
17,33,43
17,33,43
17,32,43
18,33,43
17,32,43
17,33,44
17,33,44
18,33,44
18,33,44
17,32,42
17,32,42
17,32,43
17,31,44
17,32,43
17,32,43
17,31,43
18,33,44
17,32,43
15,32,45
15,36,45
17,32,42
17,35,44
18,33,44
18,34,45
18,34,45
18,32,44
17,32,42
17,32,42
16,28,43
18,35,46
18,34,44
17,33,43
17,33,44
17,32,43
17,33,44
18,33,44
17,33,44
18,33,44
17,32,43
17,32,43
17,32,43
17,36,43
17,32,43
17,32,43
16,32,43
17,32,43
17,33,43
17,32,43
19,33,43
17,33,43
18,33,44
18,33,44
17,31,42
17,32,42
16,32,43
14,31,43
16,35,44
17,29,42
16,32,42
17,34,43
20,31,42
17,33,43
17,33,43
17,32,43
17,32,43
19,33,42
17,32,43
16,32,43
18,31,42
16,30,42
16,32,43
16,31,42
17,32,42
17,32,44
18,33,44
17,32,44
17,32,42
17,31,42
17,33,43
17,33,44
17,32,42
17,31,41
17,31,42
17,32,43
18,32,45
17,32,43
17,31,42
17,32,42
17,33,43
16,33,44
18,33,44
17,32,42
17,33,43
17,32,44
18,34,44
16,35,45
18,32,43
17,32,42
17,31,42
17,32,43
17,33,44
16,32,43
17,32,43
17,34,43
18,34,45
17,34,45
17,33,44
17,32,43
17,32,42
17,32,42
17,34,44
17,33,43
17,32,42
15,33,43
17,31,43
19,33,43
17,34,44
18,34,44
18,33,43
18,31,40
17,32,42
17,32,43
17,33,44
17,32,42
17,32,43
16,31,42
16,35,45
17,33,44
18,35,45
18,33,44
17,33,43
17,32,42
17,32,43
17,33,43
17,33,44
17,32,43
17,32,43
17,32,43
17,33,44
18,34,44
18,33,43
17,32,43
17,32,43
17,32,43
17,32,43
18,32,42
17,32,42
16,31,42
17,33,43
17,33,43
16,34,46
20,35,45
17,33,45
17,32,43
17,29,43
18,32,43
17,33,44
17,33,43
17,32,43
17,32,42
17,32,43
17,32,45
18,33,44
17,33,44
17,33,43
18,32,42
17,32,43
17,32,43
17,32,43
17,33,43
17,33,43
17,32,43
18,34,44
17,34,45
17,33,44
18,33,45
18,33,44
17,31,42
17,32,43
17,32,43
17,32,42
17,32,43
17,33,43
17,34,45
18,34,45
18,30,44
15,33,44
17,33,45
17,32,44
17,32,44
17,33,43
18,33,44
18,33,44
17,33,43
17,33,43
17,33,43
17,30,43
17,33,43
17,32,42
17,32,43
17,33,43
17,33,43
17,33,44
17,32,43
17,33,44
18,34,44
17,33,44
17,32,42
17,33,43
17,32,43
17,32,44
18,33,43
17,32,44
17,36,45
17,33,41
17,33,44
17,33,43
17,30,42
17,32,43
18,33,43
17,32,42
17,32,43
17,33,44
17,34,44
17,33,43
17,33,43
17,32,43
16,32,42
17,33,44
18,35,45
17,32,43
17,32,43
17,32,42
16,33,44
17,33,44
17,33,44
17,32,43
14,31,42
17,32,43
17,32,43
18,33,43
17,33,44
17,33,43
17,32,43
17,32,44
17,33,44
17,32,43
17,32,42
17,32,43
18,34,44
17,33,43
17,32,43
17,30,43
17,32,43
17,32,43
17,33,43
17,32,43
17,32,43
17,32,42
16,34,44
17,33,44
17,29,42
16,31,42
17,32,42
17,32,42
17,32,42
17,33,44
17,33,44
17,33,41
17,32,43
17,32,42
16,31,43
17,33,43
20,34,44
17,32,42
17,33,43
19,34,44
17,32,44
16,33,44
18,33,44
17,33,43
17,32,43
20,33,43
17,32,42
17,33,44
18,34,44
18,33,44
17,34,43
17,32,42
17,32,42
17,33,44
17,32,42
17,32,42
15,28,43
17,32,42
17,33,43
17,32,43
17,33,44
17,31,42
17,32,42
17,32,43
17,32,45
17,33,41
18,33,44
17,32,43
17,31,44
17,32,43
17,31,42
18,33,44
17,33,42
17,34,43
17,32,43
17,32,43
16,30,43
17,33,43
17,32,43
17,34,43
19,35,44
17,32,43
17,32,43
17,32,43
17,33,43
17,32,43
17,32,42
19,33,43
17,33,43
17,32,43
18,32,43
17,32,43
18,33,44
17,33,46
17,31,42
17,33,43
17,32,43
17,33,43
17,34,43
17,33,43
17,32,43
17,31,42
16,32,42
17,32,43
17,32,43
17,33,44
17,31,43
17,32,43
17,33,42
17,32,42
16,33,44
18,33,44
17,32,43
17,32,44
17,32,42
16,31,42
17,33,44
17,32,43
17,31,43
17,30,43
17,32,43
17,32,43
17,33,45
17,32,43
17,32,42
16,31,43
17,33,43
17,33,43
17,32,43
17,33,43
14,31,44
14,31,44
17,33,43
18,33,43
16,30,42
17,32,43
17,31,41
15,32,43
17,33,43
17,32,43
17,32,43
15,27,41
16,33,43
17,33,41
17,28,41
17,30,44
17,30,42
17,33,43
17,32,42
17,33,44
17,33,44
17,32,43
14,31,42
17,33,43
17,32,42
16,31,40
17,33,44
17,32,43
17,32,43
16,31,43
17,33,44
18,32,43
14,31,44
17,32,44
17,33,43
17,32,41
16,31,41
16,32,42
17,34,44
18,33,44
17,32,42
16,32,42
17,32,43
18,35,44
18,33,43
18,33,44
17,33,41
17,32,43
17,32,40
17,32,40
18,33,44
18,33,43
17,32,43
17,32,42
16,32,44
18,34,44
18,34,44
17,32,43
17,32,41
16,31,42
16,33,44
