R,G,B
64,139,53
65,139,53
65,138,52
65,138,54
65,139,53
65,139,54
64,138,53
65,139,53
65,139,54
64,143,56
65,139,53
65,139,54
65,141,55
65,138,53
65,140,54
63,138,53
65,139,53
65,139,54
63,138,53
65,139,52
64,138,53
66,139,54
65,139,54
65,139,51
65,139,53
65,140,54
65,139,53
65,139,53
65,139,53
65,139,52
65,140,53
65,139,54
64,138,53
65,139,54
65,137,54
65,139,53
65,139,54
65,139,53
65,139,53
65,139,53
65,136,52
65,139,53
65,138,53
65,139,54
65,140,53
65,138,52
64,138,53
65,139,53
65,139,52
65,139,52
65,140,53
64,139,53
65,139,53
65,136,53
65,139,55
65,140,54
64,139,53
64,138,52
65,138,54
63,138,54
65,139,52
65,139,53
65,139,54
65,141,56
64,139,54
65,139,53
64,139,53
64,140,53
65,140,54
64,139,53
65,138,53
66,140,53
66,140,53
65,139,53
65,140,53
64,139,53
65,139,54
65,140,54
64,140,52
65,139,54
65,140,53
65,140,54
64,139,53
67,140,54
65,139,52
65,139,53
64,139,53
65,139,54
65,139,53
65,140,54
66,140,53
67,140,53
68,140,52
68,140,53
66,140,54
64,140,54
65,140,54
65,141,54
66,141,54
66,141,55
65,140,54
65,143,56
65,139,54
65,139,54
65,140,54
65,142,54
67,140,52
69,139,52
68,141,53
66,142,54
66,140,55
65,138,54
62,138,54
65,140,55
66,141,55
66,142,54
66,142,55
65,140,52
65,139,52
65,139,55
65,140,55
66,141,54
65,140,54
65,140,54
65,139,53
66,141,54
65,141,53
65,140,54
65,139,54
64,140,54
65,140,53
65,139,54
63,139,55
65,138,55
65,138,53
65,138,53
65,139,53
64,141,54
65,140,54
65,140,54
65,136,53
64,139,54
65,139,53
65,141,53
65,140,53
65,136,52
64,139,53
65,139,53
65,140,54
65,140,54
65,140,51
65,141,54
65,139,54
65,140,53
65,140,53
65,139,54
64,141,54
65,141,54
65,140,54
65,142,54
65,141,54
65,138,53
65,139,54
64,142,55
66,145,56
65,138,53
65,141,54
65,142,55
65,138,54
66,142,54
65,139,54
65,138,54
67,142,55
66,144,55
65,141,55
65,139,53
65,140,53
65,140,54
65,140,54
65,141,54
65,140,51
67,145,56
69,148,56
65,140,53
65,139,54
64,135,54
65,141,54
66,141,54
65,141,55
69,152,59
67,145,55
65,139,53
65,139,54
65,139,54
65,139,54
68,142,55
65,139,53
66,143,55
70,153,58
68,149,54
65,139,53
65,136,52
65,138,53
65,142,53
65,139,54
65,141,55
67,144,55
65,139,54
66,139,53
65,141,54
65,139,54
65,140,54
66,142,56
67,149,56
67,146,55
66,141,53
64,138,53
64,138,55
65,140,54
65,137,54
66,141,54
66,146,56
69,151,58
69,149,56
67,145,55
65,142,54
65,138,54
65,138,54
65,141,55
65,141,53
65,139,53
65,141,54
66,142,55
71,157,59
71,155,58
66,141,53
65,142,54
65,141,54
65,138,54
65,141,54
66,139,53
65,139,53
65,143,54
67,147,56
67,144,55
65,139,53
65,137,54
66,142,54
65,139,53
65,142,54
65,143,57
65,139,53
68,154,58
70,150,57
66,141,53
65,142,54
65,139,54
64,138,53
65,142,55
66,143,54
61,139,53
70,152,57
71,153,58
68,147,55
67,145,55
66,142,54
64,138,54
65,140,54
65,141,54
65,145,56
66,142,54
65,140,54
69,150,57
71,153,58
68,145,55
67,144,54
65,137,53
64,139,54
65,139,54
65,142,53
64,140,54
66,142,54
65,139,54
65,141,55
67,147,56
67,145,55
66,145,54
66,143,55
66,141,54
65,140,55
66,146,56
66,144,55
65,141,55
65,140,51
65,141,54
65,144,54
66,142,55
65,140,54
65,140,53
66,142,54
66,143,55
67,148,57
69,151,58
69,150,57
68,151,58
67,148,56
66,144,56
67,143,55
66,141,55
66,145,53
67,147,57
70,152,58
71,156,59
71,156,59
70,153,58
69,149,57
67,146,56
67,143,54
65,141,54
65,141,52
65,141,55
66,144,56
70,148,56
68,149,58
69,152,58
71,154,59
70,152,58
69,150,56
67,145,55
66,142,55
66,145,56
67,148,58
71,155,59
72,157,62
74,161,62
73,162,61
69,152,57
67,146,56
66,140,54
65,139,52
65,138,55
66,139,54
67,146,56
69,149,58
71,155,60
75,161,62
72,158,59
70,151,58
69,148,57
67,144,56
66,140,54
64,142,54
68,146,54
68,144,55
70,151,58
72,156,60
72,156,59
70,151,59
69,149,57
68,145,57
66,139,54
66,139,53
67,143,55
68,146,57
70,149,58
70,150,58
69,146,56
66,143,56
66,140,54
66,139,55
65,139,54
66,141,54
67,144,55
67,146,56
68,146,59
67,145,56
63,141,54
65,139,54
65,138,54
65,139,54
66,140,56
66,142,55
66,142,55
66,140,55
64,139,55
65,138,55
66,139,53
66,139,54
65,138,54
65,139,54
66,138,55
66,139,55
66,139,55
64,138,54
65,137,53
66,140,55
68,144,55
68,146,54
68,145,56
66,142,54
65,137,54
64,135,53
64,133,55
65,131,54
66,137,55
66,138,54
65,138,54
65,139,54
65,137,54
65,136,54
63,135,54
63,135,53
65,135,53
64,136,55
66,141,56
65,139,55
66,138,54
66,139,54
65,139,55
66,140,55
65,140,54
64,140,55
66,141,55
67,142,55
67,145,56
67,142,55
64,137,54
65,138,53
65,140,54
65,140,54
66,141,55
66,141,55
64,137,54
65,139,54
66,141,55
66,143,56
67,142,55
65,139,54
65,140,55
66,141,55
66,139,55
65,139,55
66,140,55
66,140,55
65,138,55
65,138,53
67,139,54
