R,G,B
156,301,343
155,301,344
155,302,344
156,303,345
155,300,343
155,300,343
156,300,346
155,300,344
155,298,345
156,301,344
155,302,345
156,300,344
155,300,343
155,301,344
155,300,341
155,301,344
155,301,344
155,301,343
155,301,344
155,301,344
155,300,344
155,301,343
155,301,344
155,301,344
155,298,343
155,300,343
155,300,344
155,301,343
155,300,343
156,302,345
155,300,344
155,300,344
156,301,344
156,301,344
155,301,344
155,300,344
156,301,344
156,300,344
155,301,344
154,300,343
155,300,344
155,301,344
156,301,344
156,300,343
155,300,344
155,300,343
155,301,344
155,301,343
155,298,345
155,301,344
155,301,342
155,300,344
156,304,344
155,301,344
155,300,344
155,300,343
155,300,344
155,300,344
155,300,343
155,300,343
155,301,344
153,301,344
155,301,344
155,298,343
155,300,345
155,301,344
155,301,344
155,301,344
156,301,344
156,301,343
155,301,344
155,301,344
156,301,344
155,301,346
155,301,344
156,301,345
155,301,344
156,301,344
155,301,343
156,301,343
155,301,344
155,301,345
153,298,344
156,301,344
156,301,344
155,300,343
158,301,344
155,301,343
156,301,344
155,301,344
156,300,343
153,301,344
156,301,343
155,301,344
155,303,343
155,300,344
156,303,347
159,309,349
161,312,352
162,316,355
164,319,358
165,319,360
165,320,360
164,318,360
165,318,361
166,320,363
168,321,366
166,321,364
165,317,360
163,311,356
160,310,357
163,314,362
163,314,358
161,311,355
160,311,354
162,313,357
163,317,359
165,317,360
164,312,359
162,310,356
161,311,358
164,316,360
163,314,358
163,314,358
162,316,359
163,316,360
164,316,360
165,318,361
164,318,360
163,313,356
162,312,356
161,312,356
163,315,358
163,316,360
164,317,361
164,318,362
165,320,365
167,323,366
167,323,365
166,319,363
166,320,365
167,320,364
160,309,355
159,307,354
158,306,353
158,304,347
159,307,353
161,308,355
159,305,352
158,306,352
159,306,352
158,305,351
159,306,351
158,306,351
158,305,350
157,307,349
160,308,352
159,305,351
158,304,349
159,306,350
159,306,351
158,303,349
156,299,347
158,306,350
158,305,350
156,303,348
157,303,349
160,306,350
159,309,350
159,306,352
159,304,350
158,306,351
159,307,352
160,308,351
159,306,351
159,307,351
160,306,350
159,306,350
157,304,348
157,303,348
157,304,348
158,306,351
161,311,353
162,311,357
162,311,355
161,308,354
161,310,353
161,308,352
162,311,357
164,314,357
163,312,358
163,313,358
164,314,358
164,313,359
164,316,361
161,313,360
163,314,358
162,309,352
162,310,355
163,311,356
163,316,360
163,312,354
163,317,359
164,319,361
164,317,361
166,321,363
167,322,365
163,318,359
163,320,363
166,319,365
167,321,367
167,323,368
168,323,368
166,320,366
164,318,362
164,316,361
162,312,358
158,308,352
161,312,358
161,312,361
161,314,362
162,313,361
160,314,360
160,314,361
162,314,361
161,310,356
158,312,357
162,311,358
160,311,357
162,312,358
163,312,357
161,316,363
164,318,363
162,310,355
158,310,355
162,315,365
162,317,361
161,310,356
161,313,359
161,313,359
161,314,360
161,313,358
160,310,353
160,309,356
159,306,355
158,308,354
158,307,354
159,310,357
163,319,366
162,316,359
163,311,359
162,312,358
163,313,359
162,317,358
162,312,357
162,314,359
161,310,354
159,308,353
162,310,360
162,312,358
160,311,354
160,311,357
162,312,358
162,311,358
161,311,357
160,312,355
162,314,354
161,314,355
163,315,356
161,312,352
159,307,349
159,308,350
162,315,356
162,313,353
160,310,352
160,312,353
161,311,353
162,312,353
161,313,353
160,311,351
160,312,354
161,313,355
160,311,352
160,311,353
161,312,354
162,313,356
164,317,362
165,317,360
164,315,358
162,314,359
161,309,354
156,303,349
158,304,353
158,305,354
158,308,352
158,306,352
158,306,353
158,304,353
158,303,352
158,308,352
159,307,355
157,305,352
158,305,353
157,304,353
160,308,354
160,306,352
159,304,348
159,303,351
157,299,347
156,301,344
156,300,345
155,302,344
159,309,352
161,312,356
161,310,355
161,308,355
162,315,359
163,318,359
161,309,354
161,311,357
162,314,357
162,310,356
161,310,359
161,311,355
161,309,356
160,307,354
159,306,350
157,303,348
157,301,348
157,301,348
154,295,341
153,294,341
154,299,345
155,299,345
156,299,345
156,298,345
155,297,345
155,302,346
157,302,349
155,299,345
156,300,346
156,301,346
157,303,348
158,305,350
158,304,350
160,305,350
158,304,351
158,302,348
156,301,345
157,300,346
156,302,346
157,301,347
156,300,348
156,300,348
156,305,347
159,301,347
157,303,348
157,305,349
156,300,347
155,298,346
157,301,347
156,299,344
157,302,349
158,303,351
156,301,346
155,299,343
155,300,344
158,303,349
155,297,346
155,302,349
158,305,352
156,304,349
157,305,352
158,308,354
158,307,352
158,303,352
157,304,353
158,309,355
160,309,355
158,308,355
160,310,356
161,315,357
161,312,357
160,310,357
160,311,355
161,311,357
160,312,360
161,315,357
162,312,359
161,312,356
160,312,356
160,310,357
158,308,351
157,309,355
160,312,358
160,308,354
159,308,357
161,311,356
160,309,356
159,311,354
161,314,360
161,311,358
160,308,356
160,306,356
158,304,351
158,305,349
157,308,352
158,306,354
158,307,352
159,308,354
159,307,352
159,308,352
159,307,353
157,306,352
158,307,352
158,307,352
159,306,354
160,307,354
160,308,354
160,309,354
161,312,357
162,309,355
162,309,353
159,305,353
159,307,354
159,306,352
157,305,351
159,309,354
160,308,353
159,305,353
159,304,350
159,305,352
159,306,354
158,304,352
159,310,354
161,307,355
158,306,352
159,307,355
159,307,352
158,305,350
158,307,348
160,309,349
158,304,352
158,307,352
159,308,352
160,306,353
159,305,353
158,306,352
159,305,352
159,306,352
158,304,351
158,304,351
158,305,349
154,303,351
158,305,349
159,305,352
158,305,352
159,306,351
159,306,353
160,308,354
159,306,354
159,307,353
160,309,354
159,308,353
160,308,354
159,307,351
160,311,355
160,309,353
159,305,352
160,310,353
161,309,355
160,311,354
160,308,352
161,310,355
161,307,352
159,302,352
158,306,346
158,305,346
160,311,356
160,309,354
161,309,358
158,306,352
161,313,361
161,314,358
161,312,356
164,314,360
161,313,356
161,312,359
162,312,358
161,311,357
161,311,358
160,309,357
161,313,357
162,312,358
161,308,357
160,310,356
162,314,358
162,313,357
162,311,356
161,310,355
162,310,355
160,310,354
160,311,354
160,309,353
159,307,353
160,308,354
159,308,353
159,307,352
159,308,354
158,306,352
157,306,352
159,307,352
157,305,350
157,303,350
158,304,350
157,305,349
156,302,350
156,303,350
157,303,351
156,300,348
156,302,352
158,304,351
157,303,349
156,301,348
157,305,350
158,306,353
158,303,351
156,303,350
157,304,349
158,307,349
159,301,351
158,306,353
158,307,352
158,305,352
158,309,356
161,313,358
162,312,355
158,305,350
156,305,352
161,308,354
162,309,353
157,302,349
159,307,353
160,309,353
159,305,352
159,306,353
158,304,348
156,304,347
158,306,350
159,306,352
158,304,352
158,305,349
158,305,348
159,306,351
158,305,349
156,302,348
157,302,350
158,307,352
157,304,350
156,304,350
158,306,352
157,304,349
158,308,354
158,304,351
158,305,352
158,308,354
160,309,353
160,305,354
157,303,352
159,309,352
160,311,354
160,307,355
159,306,354
159,309,354
159,307,352
158,305,351
159,307,353
157,303,349
157,306,351
159,308,353
158,305,353
157,305,352
159,307,354
159,306,351
157,307,348
160,309,354
160,307,354
158,307,352
160,309,356
159,307,353
157,305,354
156,308,352
159,309,353
158,307,352
157,306,352
159,308,355
159,307,355
158,306,353
158,308,355
160,309,357
159,309,355
159,308,356
159,310,357
161,310,357
159,310,357
161,309,356
160,309,356
159,311,355
161,313,357
160,312,356
160,310,357
160,312,357
164,314,357
161,312,358
161,311,359
160,311,359
160,311,357
160,311,356
160,313,358
162,319,360
164,315,362
162,314,361
163,317,362
164,319,362
164,318,366
163,318,369
166,321,366
164,319,365
165,322,368
166,323,366
166,320,365
166,319,366
166,317,367
164,318,364
165,320,364
167,323,367
168,323,368
167,324,370
170,328,370
169,325,367
166,322,365
166,322,366
167,324,366
166,320,363
165,318,364
165,322,365
168,323,366
166,319,364
166,321,367
168,327,366
169,325,368
167,322,366
166,319,366
167,323,365
167,320,365
166,322,364
166,320,368
167,322,367
166,321,367
166,322,366
168,322,366
166,319,366
165,320,365
167,321,365
167,322,367
167,321,368
165,320,366
166,322,366
166,321,362
166,318,365
166,319,364
166,319,367
162,317,363
165,319,367
164,318,363
164,318,362
164,319,363
165,317,364
163,314,362
162,313,359
162,315,358
162,318,360
163,317,361
163,313,360
161,311,357
159,307,353
159,309,354
159,309,352
158,307,352
159,308,353
159,308,353
158,308,352
159,309,354
160,309,357
159,307,355
157,305,351
156,304,349
158,307,352
160,310,355
160,309,358
161,310,358
161,311,358
161,310,357
160,309,356
160,312,355
162,313,357
162,311,359
161,310,360
162,312,361
161,313,357
161,311,356
161,312,359
162,312,358
162,311,356
162,312,358
161,313,359
162,315,360
162,314,359
162,313,356
162,314,360
162,312,359
161,311,356
161,309,355
159,310,355
161,306,356
160,308,356
160,307,355
159,308,356
159,309,355
159,308,356
160,308,356
160,308,355
158,306,352
157,304,353
158,304,352
157,304,351
157,304,354
156,304,351
156,302,350
158,305,350
158,304,350
157,305,348
157,307,350
157,308,353
158,305,353
157,307,353
159,307,352
158,307,352
158,305,352
158,307,354
160,310,354
157,305,352
157,304,352
159,308,354
158,306,353
156,304,351
158,306,353
159,305,352
158,305,350
157,309,353
161,310,354
159,306,354
158,306,354
159,308,353
159,307,354
159,307,353
158,304,351
158,302,352
159,307,354
158,305,353
157,305,349
159,306,352
157,304,352
158,305,351
158,306,352
158,307,352
159,306,353
158,306,350
158,306,353
158,308,353
159,308,355
159,308,352
160,310,356
159,309,355
159,309,351
160,310,357
161,312,357
161,313,357
160,310,354
160,313,356
162,313,357
159,310,356
160,311,358
160,312,356
161,312,355
160,311,356
162,314,360
161,311,356
159,309,355
161,311,357
160,309,355
160,312,358
163,316,361
161,312,355
160,311,357
162,313,360
162,312,356
159,308,354
161,308,353
159,309,352
161,310,357
162,314,357
164,318,363
163,314,359
162,314,356
163,316,360
164,316,360
162,313,354
161,310,354
161,310,356
161,311,356
160,309,354
159,308,352
160,309,354
160,310,354
160,308,351
159,307,352
161,310,354
161,306,352
159,309,352
160,308,353
162,310,355
160,309,353
160,309,354
161,310,356
161,311,355
162,314,358
163,314,358
163,315,360
162,311,357
162,313,357
