R,G,B
128,144,52
128,145,51
128,144,52
128,143,51
127,143,51
127,143,52
128,144,52
128,143,50
128,144,52
128,144,52
128,144,52
128,144,52
128,144,52
127,145,53
128,142,52
127,142,52
128,144,52
128,144,52
127,143,48
128,143,52
127,143,51
127,143,51
129,144,52
128,144,52
128,144,52
127,143,50
124,141,52
127,144,52
128,143,48
127,144,52
129,144,52
127,143,51
127,143,51
128,143,52
127,143,52
128,145,53
129,146,52
130,146,52
129,145,52
129,145,52
128,144,52
128,144,52
127,144,53
127,143,51
127,143,52
128,143,52
128,144,52
128,143,52
127,144,52
127,142,51
128,143,52
128,144,52
128,144,51
128,144,51
128,144,52
128,144,52
128,144,52
127,143,52
129,145,52
129,146,52
129,146,52
129,146,52
129,145,52
128,144,51
128,144,52
128,143,52
127,143,49
127,144,52
128,144,52
128,141,52
127,143,52
127,144,52
128,145,52
129,145,52
128,145,52
128,146,51
128,143,52
128,143,52
128,143,52
128,146,52
128,145,52
129,145,53
129,147,52
127,143,52
128,143,52
128,145,52
128,144,51
126,143,53
129,144,52
127,143,52
127,142,52
128,145,52
128,144,51
128,144,52
129,144,52
127,144,52
129,146,52
129,145,52
129,145,52
130,146,52
128,143,52
128,144,52
128,143,52
128,143,52
128,143,52
127,144,52
129,144,52
128,144,52
128,144,52
127,141,52
127,141,52
129,144,53
128,144,51
128,144,51
131,145,53
128,144,51
128,143,53
130,146,52
130,146,52
128,143,49
127,143,49
129,144,52
129,144,52
127,143,52
128,143,52
131,146,53
131,141,52
127,144,52
128,141,52
127,143,51
128,144,52
129,145,52
129,144,52
128,144,51
128,145,52
128,145,52
129,146,52
130,147,52
129,146,52
128,144,52
128,143,52
127,143,51
127,143,52
128,146,52
129,144,52
127,143,52
127,143,52
128,143,51
128,144,52
128,143,49
127,143,48
128,144,52
127,144,52
128,144,53
130,143,52
127,143,52
127,144,52
128,142,52
128,144,52
128,144,51
128,143,52
126,143,52
128,144,51
127,144,52
128,144,52
127,144,52
128,143,52
127,143,51
127,144,52
128,143,51
127,143,51
128,143,52
128,143,52
127,143,53
128,145,52
128,145,53
128,145,52
128,143,52
127,143,51
128,144,52
128,144,52
128,144,52
128,144,52
128,144,52
128,143,52
127,144,52
128,143,51
128,143,52
129,145,51
130,146,52
129,145,52
129,144,52
128,143,52
127,143,51
127,143,51
130,146,53
128,144,52
128,143,52
127,143,52
127,143,51
128,144,51
130,146,52
131,148,53
130,146,52
129,146,52
129,146,52
129,146,52
129,145,52
129,145,51
127,142,51
127,143,52
128,145,52
129,145,52
128,143,52
127,143,52
127,144,52
130,146,50
131,147,53
130,146,52
129,145,52
129,144,52
128,144,52
127,143,52
127,144,52
129,144,52
128,144,52
127,143,51
128,144,52
128,144,51
128,144,52
128,146,52
128,144,52
127,145,53
128,143,52
131,147,51
127,144,51
127,143,52
128,144,52
128,144,51
128,143,50
127,143,52
128,143,52
128,144,52
128,144,52
128,143,52
128,143,52
128,144,52
128,144,52
127,142,51
128,143,52
127,143,51
128,144,52
128,144,51
127,143,52
128,143,51
127,143,51
129,144,51
127,144,52
128,143,51
